farmer_id,username,full_name,gender,date_of_birth,age,category,aadhaar_masked,mobile,state,district,taluka,village,pincode,khasra_number,land_holding_ha,land_type,soil_type,irrigation_source,primary_crop,secondary_crop,tertiary_crop,has_kcc,kcc_bank,pm_kisan_beneficiary,mgnrega_linked,registration_date,status,gat_number,Verified_GAT,pu_id,bhudharna_prakar,pot_kharab_area_ha,aakarnee_rs,satbara_last_date,kisan_id,plot_centroid_lat,plot_centroid_lon,plot_boundary_radius_m,crop_variety,sowing_date,irrigated_status,pmfby_enrolled,pmfby_sum_insured_rs,pmfby_premium_paid_rs,bank_account_masked,ifsc_code,ndvi_baseline,ndvi_current,ndvi_drop_pct,hist_avg_yield_qtl_per_ha,last_survey_date,last_damage_score_pct,last_claim_status
MH-AS-DHU-10000002,rajesh.kale36,Rajesh Kale,Male,1991-04-24,35,ST,XXXX-XXXX-8556,7315530354,Maharashtra,Dhule,Sakri,Sakri_Village_44,426143,82/33,5.12,Irrigated,Black Cotton Soil,Tank,Cotton,Moong Dal,Tur Dal,No,,No,Yes,2022-06-19,Inactive,82/33,Unverified,37635473142,Bhogtavadar Varg-1,0.0,9.86,16/06/2024,KID4326338643,20.673549,74.818377,127.7,Bt-Hybrid,2024-07-14,Irrigated,Yes,255243,5104,XXXX8851XX,MAHB4413630,0.554,0.151,72.7,21.4,,,
MH-AS-AHM-10000001,naresh.mahale25,Naresh Mahale,Male,1956-07-26,69,OBC,XXXX-XXXX-7964,8941906278,Maharashtra,Ahmednagar,Kopargaon,Kopargaon_Village_83,403539,734/12,1.41,Semi-irrigated,Alluvial,Borewell,Moong Dal,Sugarcane,Tur Dal,No,State Bank of India,Yes,Yes,2023-06-02,Active,734/12,Verified,36241752544,Inam,0.0,2.66,17/01/2025,KID7309474672,18.928615,75.000914,67.0,Local Variety,2024-10-17,Rain-fed,Yes,35778,715,XXXX9317XX,MAHB1160844,0.709,0.528,25.5,26.2,,,
MH-AS-SAN-10000001,usha.wagh52,Usha Wagh,Female,1953-06-10,72,OBC,XXXX-XXXX-4159,9041704089,Maharashtra,Sangli,Tasgaon,Tasgaon_Village_53,427812,486/7,0.58,Well-irrigated,Red Laterite,Canal,Wheat,Turmeric,Pomegranate,No,,Yes,No,2022-05-28,Active,486/7,Verified,37825844140,Bhogtavadar Varg-2,0.0,1.15,31/07/2024,KID2729251472,17.114834,74.358762,43.0,HD-2781,2024-10-26,Rain-fed,Yes,17157,343,XXXX7867XX,MAHB2202207,0.733,0.576,21.4,36.9,,,
MH-AS-SAN-10000002,shankar.patil30,Shankar Patil,Male,1972-04-27,54,ST,XXXX-XXXX-5417,7795008488,Maharashtra,Sangli,Tasgaon,Tasgaon_Village_89,423689,611/21,11.71,Irrigated,Black Cotton Soil,Drip,Fig,Grapes,,Yes,Bank of Baroda,No,No,2025-11-07,Active,611/21,Verified,34460967357,Bhogtavadar Varg-1,0.0,18.82,30/03/2024,KID5327694078,16.968268,74.257645,193.1,Local Variety,2024-10-20,Irrigated,Yes,344044,6880,XXXX1311XX,MAHB4742893,0.581,0.51,12.2,24.7,,,
MH-AS-SOL-10000001,narayan.kulkarni36,Narayan Kulkarni,Male,2002-03-07,24,ST,XXXX-XXXX-2500,8864454493,Maharashtra,Solapur,North Solapur,North Solapur_Village_86,427114,183/32,1.69,Rain-fed,Medium Black,Rain-fed,Pomegranate,Jowar,,Yes,,Yes,No,2023-11-19,Inactive,183/32,Unverified,38293453178,Bhogtavadar Varg-1,0.36,2.84,12/04/2024,KID6170128796,17.616131,75.583892,73.3,Bhagwa,2024-11-06,Rain-fed,No,0,0,XXXX9269XX,MAHB8019482,0.75,0.352,53.1,23.9,,,
MH-AS-OSM-10000001,mangal.more85,Mangal More,Female,1988-10-06,37,General,XXXX-XXXX-8337,9889067902,Maharashtra,Osmanabad,Osmanabad,Osmanabad_Village_76,432670,598/6,9.74,Rain-fed,Sandy Loam,Canal,Moong Dal,Maize,,No,,Yes,Yes,2022-08-29,Active,598/6,Verified,36756332150,Bhogtavadar Varg-1,0.46,15.61,08/03/2024,KID3294844113,17.901209,75.808757,176.1,Local Variety,2024-10-24,Rain-fed,Yes,275934,5518,XXXX9592XX,MAHB9920057,0.599,0.54,9.8,26.8,,,
MH-AS-JAL-10000001,suresh.salve53,Suresh Salve,Male,1963-05-12,63,SC,XXXX-XXXX-3508,8850551962,Maharashtra,Jalgaon,Amalner,Amalner_Village_79,408051,124/14,1.46,Irrigated,Black Cotton Soil,River Lift,Chilli,Onion,Wheat,No,Union Bank,No,No,2025-07-06,Inactive,124/14,Unverified,31667779376,Bhogtavadar Varg-1,0.0,2.71,06/02/2025,KID4866511089,20.989025,75.224691,68.2,LCA-334,2024-07-06,Irrigated,Yes,40646,812,XXXX6033XX,MAHB2591873,0.784,0.252,67.9,25.0,,,
MH-AS-SAT-10000001,ganesh.wagh71,Ganesh Wagh,Male,1952-09-01,73,ST,XXXX-XXXX-3536,9726577145,Maharashtra,Satara,Wai,Wai_Village_69,410390,804/11,10.3,Well-irrigated,Alluvial,Drip,Ginger,Jowar,,No,Union Bank,No,Yes,2022-08-26,Active,804/11,Verified,32445662585,Bhogtavadar Varg-1,0.0,20.18,03/10/2024,KID7895609197,17.468535,73.623542,181.1,Local Variety,2024-07-11,Rain-fed,Yes,248513,4970,XXXX4412XX,MAHB6519596,0.818,0.67,18.1,25.4,,,
MH-AS-JAL-10000002,narayan.mane57,Narayan Mane,Male,1987-11-12,38,OBC,XXXX-XXXX-4770,9675115137,Maharashtra,Jalgaon,Bhusawal,Bhusawal_Village_66,434073,805/15,4.17,Semi-irrigated,Sandy Loam,River Lift,Chana Dal,Tomato,,No,,No,Yes,2022-12-09,Active,805/15,Verified,35693307665,Bhogtavadar Varg-1,0.0,7.08,24/03/2025,KID5194945606,21.326615,75.604388,115.2,Local Variety,2024-10-24,Rain-fed,Yes,107065,2141,XXXX1668XX,MAHB7003904,0.56,0.46,17.9,26.3,2024-10-03,18.0,Pending Review
MH-AS-SOL-10000002,dattatray.shinde60,Dattatray Shinde,Male,1980-06-19,45,ST,XXXX-XXXX-2568,8985299236,Maharashtra,Solapur,Barshi,Barshi_Village_8,401973,952/21,10.15,Semi-irrigated,Alluvial,Borewell,Onion,Sunflower,Chilli,No,DCCB Nashik,Yes,Yes,2025-04-08,Active,952/21,Verified,35710360983,Bhogtavadar Varg-1,0.03,20.0,06/07/2024,KID2535557871,17.420837,76.249503,179.7,Bhima Raj,2024-07-04,Rain-fed,Yes,453622,9072,XXXX2869XX,MAHB6810911,0.689,0.661,4.1,198.6,2024-11-25,87.5,Disbursed
MH-AS-NAN-10000002,suresh.surve58,Suresh Surve,Male,2001-05-26,24,ST,XXXX-XXXX-9523,8167746573,Maharashtra,Nanded,Nanded,Nanded_Village_26,442031,267/42,3.96,Irrigated,Black Cotton Soil,Rain-fed,Turmeric,Maize,Chana Dal,Yes,Bank of Baroda,Yes,No,2025-01-08,Active,267/42,Verified,38934927891,Bhogtavadar Varg-1,0.0,6.43,28/09/2024,KID8695890372,19.17197,76.954407,112.3,Salem,2024-06-16,Irrigated,Yes,182895,3657,XXXX3989XX,MAHB8994916,0.686,0.555,19.1,23.4,2024-10-06,52.1,Disbursed
MH-AS-SAT-10000002,geeta.mane57,Geeta Mane,Female,1961-02-22,65,OBC,XXXX-XXXX-1588,8961865730,Maharashtra,Satara,Mahabaleshwar,Mahabaleshwar_Village_25,401085,924/47,11.73,Canal-irrigated,Alluvial,Tank,Brinjal,Guava,Peas,Yes,,Yes,Yes,2024-06-13,Active,924/47,Verified,37887950851,Bhogtavadar Varg-1,0.0,23.15,13/09/2024,KID5221472218,17.700401,74.130414,193.2,Local Variety,2024-11-04,Rain-fed,Yes,312670,6253,XXXX1561XX,MAHB2955549,0.684,0.551,19.4,25.4,2025-02-11,75.2,Approved
MH-AS-KOL-10000001,suresh.surve52,Suresh Surve,Male,1971-10-29,54,SBC,XXXX-XXXX-4101,9899649643,Maharashtra,Kolhapur,Karvir,Karvir_Village_39,417196,385/50,4.72,Canal-irrigated,Red Laterite,Well,Colocasia,Arecanut,,Yes,DCCB Pune,Yes,Yes,2024-11-30,Active,385/50,Verified,34466589567,Bhogtavadar Varg-1,0.0,8.22,19/05/2024,KID3835965429,16.945527,74.511235,122.6,Local Variety,2024-10-21,Rain-fed,Yes,137629,2752,XXXX9314XX,MAHB3282630,0.594,0.514,13.5,26.7,2024-11-01,38.7,Approved
MH-AS-AUR-10000001,narayan.desai76,Narayan Desai,Male,1976-03-29,50,NT,XXXX-XXXX-5823,7772953598,Maharashtra,Aurangabad,Sillod,Sillod_Village_5,430413,299/20,2.09,Canal-irrigated,Sandy Loam,Well,Pomegranate,Maize,Cotton,No,State Bank of India,Yes,No,2025-05-03,Active,299/20,Verified,38429141456,Bhogtavadar Varg-1,0.0,3.43,01/03/2025,KID1159180812,19.678306,75.717919,81.6,Bhagwa,2024-11-05,Rain-fed,Yes,216215,4324,XXXX6212XX,MAHB1166411,0.662,0.485,26.7,24.1,,,
MH-AS-NAN-10000003,vimal.pawar34,Vimal Pawar,Female,1984-07-10,41,General,XXXX-XXXX-4532,7814727872,Maharashtra,Nanded,Mudkhed,Mudkhed_Village_10,431824,440/9,11.77,Rain-fed,Black Cotton Soil,Borewell,Tomato,Sesame,Moong Dal,No,Maharashtra Gramin Bank,Yes,Yes,2025-03-05,Inactive,440/9,Unverified,33303082117,Bhogtavadar Varg-1,0.0,21.12,25/03/2024,KID1100089274,19.111291,77.132273,193.6,Abhinav,2024-10-21,Rain-fed,Yes,478398,9567,XXXX1128XX,MAHB3434390,0.806,0.344,57.3,250.4,,,
MH-AS-PUN-10000006,bharat.mahale24,Bharat Mahale,Male,1961-05-31,64,OBC,XXXX-XXXX-3915,7483421145,Maharashtra,Pune,Haveli,Haveli_Village_41,403501,509/21,6.15,Rain-fed,Sandy Loam,Tank,Maize,Fig,Bajra,Yes,,Yes,Yes,2022-09-18,Active,509/21,Verified,32625792787,Bhogtavadar Varg-2,0.0,10.47,11/05/2024,KID8815414831,18.559903,73.758567,139.9,Ganga-11,2024-06-16,Rain-fed,Yes,168849,3376,XXXX6194XX,MAHB2514022,0.785,0.617,21.4,31.8,,,
MH-AS-NAG-10000002,ramesh.chavan18,Ramesh Chavan,Male,1992-02-07,34,General,XXXX-XXXX-4590,8058288531,Maharashtra,Nagpur,Katol,Katol_Village_80,431874,761/33,5.94,Well-irrigated,Red Laterite,Canal,Onion,Tur Dal,,No,,No,No,2024-11-12,Active,761/33,Verified,37665963761,Bhogtavadar Varg-1,0.0,10.18,26/02/2025,KID1369448323,20.908783,79.42057,137.5,Bhima Raj,2024-07-01,Rain-fed,Yes,292818,5856,XXXX4380XX,MAHB7140414,0.629,0.547,13.0,199.1,2024-11-27,86.8,Disbursed
MH-AS-AHM-10000002,anil.chavan17,Anil Chavan,Male,1955-10-14,70,General,XXXX-XXXX-9263,7088993703,Maharashtra,Ahmednagar,Shrirampur,Shrirampur_Village_91,438040,634/14,10.72,Semi-irrigated,Medium Black,Tank,Grapes,Groundnut,Tomato,Yes,,Yes,Yes,2024-12-19,Inactive,634/14,Unverified,38995970241,Bhogtavadar Varg-1,0.42,18.47,03/09/2024,KID5319310943,19.446142,75.017995,184.7,Thompson Seedless,2024-11-01,Rain-fed,No,0,0,XXXX5100XX,MAHB2260723,0.606,0.168,72.3,26.7,,,
MH-AS-SAT-10000003,shyam.gavit47,Shyam Gavit,Male,1956-04-07,70,SBC,XXXX-XXXX-7689,9441786536,Maharashtra,Satara,Karad,Karad_Village_98,424869,833/12,10.91,Irrigated,Alluvial,Canal,Fig,Turmeric,,No,,Yes,Yes,2023-07-22,Active,833/12,Verified,33479708607,Bhogtavadar Varg-1,0.17,20.96,16/02/2025,KID2416040795,17.626731,74.19119,186.4,Local Variety,2024-10-25,Irrigated,Yes,314882,6297,XXXX7686XX,MAHB7334757,0.82,0.68,17.1,25.1,,,
MH-AS-AMR-10000001,dattatray.shinde54,Dattatray Shinde,Male,1950-02-02,76,OBC,XXXX-XXXX-7604,9983914738,Maharashtra,Amravati,Achalpur,Achalpur_Village_26,425666,333/50,9.89,Irrigated,Red Laterite,Rain-fed,Urad Dal,Maize,Jowar,No,State Bank of India,No,Yes,2024-03-07,Active,333/50,Verified,34026113008,Bhogtavadar Varg-1,0.0,17.96,31/05/2024,KID7542962116,21.214375,77.413237,177.4,Local Variety,2024-11-07,Irrigated,Yes,277345,5546,XXXX4109XX,MAHB7278266,0.693,0.644,7.1,23.0,,,
MH-AS-SAT-10000004,ganesh.wagh90,Ganesh Wagh,Male,1962-12-14,63,General,XXXX-XXXX-8686,8978812789,Maharashtra,Satara,Karad,Karad_Village_82,409303,831/34,10.24,Canal-irrigated,Red Laterite,Well,Onion,Brinjal,,Yes,DCCB Pune,Yes,Yes,2023-05-02,Active,831/34,Verified,39786748825,Bhogtavadar Varg-1,0.0,17.66,17/01/2025,KID9827875368,17.608467,74.131556,180.5,Bhima Raj,2024-07-05,Rain-fed,No,0,0,XXXX8479XX,MAHB9929603,0.777,0.722,7.1,199.5,2024-10-14,70.4,Approved
MH-AS-NAS-10000002,mamta.shinde91,Mamta Shinde,Female,1955-02-15,71,General,XXXX-XXXX-9249,7360861856,Maharashtra,Nashik,Igatpuri,Igatpuri_Village_47,441050,801/1,5.54,Canal-irrigated,Alluvial,Borewell,Garlic,Strawberry,Onion,No,State Bank of India,No,Yes,2022-06-28,Active,801/1,Verified,35728765136,Bhogtavadar Varg-1,0.0,10.22,21/03/2025,KID6203074492,20.387061,73.954031,132.8,Local Variety,2024-10-22,Rain-fed,No,0,0,XXXX4543XX,MAHB5811919,0.73,0.636,12.9,24.8,,,
MH-AS-AUR-10000002,vandana.lokhande79,Vandana Lokhande,Female,1965-08-23,60,NT,XXXX-XXXX-5688,9459935943,Maharashtra,Aurangabad,Sillod,Sillod_Village_37,420929,544/31,9.78,Well-irrigated,Medium Black,Tank,Chana Dal,Mango,,No,Bank of Maharashtra,Yes,No,2023-10-14,Active,544/31,Verified,36488854841,Bhogtavadar Varg-1,0.0,18.45,22/06/2024,KID4280474243,19.985496,75.107609,176.4,Local Variety,2024-11-03,Rain-fed,No,0,0,XXXX1902XX,MAHB6997879,0.795,0.628,21.0,24.3,,,
MH-AS-AUR-10000003,vitthal.gaikwad34,Vitthal Gaikwad,Male,1966-09-11,59,General,XXXX-XXXX-4836,8316936019,Maharashtra,Aurangabad,Paithan,Paithan_Village_52,414453,5/18,8.57,Well-irrigated,Sandy Loam,River Lift,Wheat,Pomegranate,,Yes,Canara Bank,No,No,2025-07-22,Active,5/18,Verified,32566942273,Shasakiya,0.0,14.65,15/02/2025,KID8279964872,19.710652,75.071308,165.2,HD-2781,2024-10-29,Rain-fed,No,0,0,XXXX4004XX,MAHB9878109,0.687,0.493,28.2,34.3,,,
MH-AS-AUR-10000004,radha.mane91,Radha Mane,Female,1986-07-10,39,General,XXXX-XXXX-2216,8377319760,Maharashtra,Aurangabad,Sillod,Sillod_Village_99,422620,955/28,8.09,Rain-fed,Red Laterite,Drip,Maize,Soybean,,No,DCCB Nashik,No,Yes,2022-10-28,Active,955/28,Verified,36884882440,Inam,0.0,14.28,28/02/2024,KID4960816233,19.719347,75.518105,160.5,Ganga-11,2024-06-18,Rain-fed,Yes,191489,3829,XXXX8029XX,MAHB4379987,0.704,0.561,20.3,29.7,,,
MH-AS-DHU-10000003,vimal.gavit77,Vimal Gavit,Female,1974-09-04,51,General,XXXX-XXXX-3920,7072584618,Maharashtra,Dhule,Shirpur,Shirpur_Village_78,400855,195/44,11.52,Irrigated,Sandy Loam,Canal,Onion,Maize,,No,DCCB Pune,No,Yes,2024-05-02,Active,195/44,Verified,33783290795,Bhogtavadar Varg-2,0.0,18.99,27/08/2024,KID4209291095,21.270584,74.387526,191.5,Bhima Raj,2024-06-23,Irrigated,Yes,554309,11086,XXXX2544XX,MAHB8557323,0.79,0.612,22.5,201.2,2025-01-01,43.1,Approved
MH-AS-AUR-10000005,pushpa.wagh56,Pushpa Wagh,Female,1948-02-15,78,SBC,XXXX-XXXX-1972,9071207308,Maharashtra,Aurangabad,Kannad,Kannad_Village_45,408647,281/29,1.15,Well-irrigated,Medium Black,Drip,Maize,Moong Dal,,Yes,Canara Bank,No,No,2023-05-25,Inactive,281/29,Unverified,34131575764,Bhogtavadar Varg-1,0.0,1.92,08/02/2024,KID2753632834,19.726276,74.98243,60.5,Ganga-11,2024-07-12,Rain-fed,Yes,27811,556,XXXX4075XX,MAHB1704236,0.583,0.164,71.9,31.9,,,
MH-AS-OSM-10000002,sunita.yadav28,Sunita Yadav,Female,1971-07-06,54,General,XXXX-XXXX-7357,7825708770,Maharashtra,Osmanabad,Lohara,Lohara_Village_78,402545,220/19,3.12,Well-irrigated,Alluvial,Tank,Sunflower,Onion,,Yes,Bank of Baroda,Yes,Yes,2025-01-01,Active,220/19,Verified,35996775663,Bhogtavadar Varg-1,0.37,5.84,13/03/2024,KID1414392414,18.485817,76.194006,99.7,Local Variety,2024-11-01,Rain-fed,Yes,74880,1497,XXXX8951XX,MAHB7694508,0.625,0.539,13.8,25.2,2024-10-09,72.4,Approved
MH-AS-OSM-10000003,suresh.surve75,Suresh Surve,Male,1993-02-24,33,SC,XXXX-XXXX-3195,9431006955,Maharashtra,Osmanabad,Lohara,Lohara_Village_64,412934,706/48,8.6,Well-irrigated,Black Cotton Soil,Rain-fed,Safflower,Moong Dal,,Yes,Bank of Baroda,No,No,2024-05-19,Active,706/48,Verified,36924716023,Bhogtavadar Varg-2,0.0,14.38,21/01/2025,KID5911992648,18.447247,76.373679,165.5,Local Variety,2024-10-28,Rain-fed,No,0,0,XXXX6675XX,MAHB5985640,0.766,0.588,23.2,25.4,,,
MH-AS-SAT-10000005,sadashiv.bhosale90,Sadashiv Bhosale,Male,1962-01-14,64,SBC,XXXX-XXXX-4926,8859277178,Maharashtra,Satara,Patan,Patan_Village_45,439208,752/31,11.91,Well-irrigated,Alluvial,Tank,Ginger,Guava,,Yes,State Bank of India,Yes,No,2024-09-28,Active,752/31,Verified,33392080953,Bhogtavadar Varg-1,0.16,21.56,25/04/2024,KID6057948946,17.402995,73.994323,194.7,Local Variety,2024-07-08,Rain-fed,No,0,0,XXXX4993XX,MAHB4115268,0.587,0.537,8.5,25.3,2025-04-03,38.9,Pending Review
MH-AS-PUN-10000007,sadashiv.desai56,Sadashiv Desai,Male,1968-05-04,58,ST,XXXX-XXXX-1512,7631936583,Maharashtra,Pune,Mulshi,Mulshi_Village_54,434992,157/40,5.37,Canal-irrigated,Sandy Loam,Canal,Brinjal,Grapes,Garlic,No,Union Bank,Yes,Yes,2025-04-21,Active,157/40,Verified,38235363119,Bhogtavadar Varg-1,0.0,10.12,16/03/2025,KID7704296769,18.557415,73.869702,130.7,Local Variety,2024-10-21,Rain-fed,Yes,151085,3021,XXXX8073XX,MAHB2205031,0.731,0.645,11.8,24.2,,,
MH-AS-NAG-10000003,vilas.patil65,Vilas Patil,Male,1997-07-24,28,General,XXXX-XXXX-4314,7644448705,Maharashtra,Nagpur,Nagpur Rural,Nagpur Rural_Village_47,410040,57/30,4.9,Semi-irrigated,Sandy Loam,River Lift,Paddy,Custard Apple,Guava,No,Canara Bank,Yes,Yes,2023-01-25,Active,57/30,Verified,34332894265,Bhogtavadar Varg-1,0.0,8.05,12/12/2024,KID8604528022,21.322134,79.34622,124.9,Jyoti,2024-06-18,Rain-fed,Yes,130293,2605,XXXX6981XX,MAHB3360389,0.715,0.528,26.2,41.5,,,
MH-AS-OSM-10000004,ganesh.nirmal13,Ganesh Nirmal,Male,1995-06-30,30,SC,XXXX-XXXX-7566,7883924447,Maharashtra,Osmanabad,Paranda,Paranda_Village_10,413552,258/20,5.64,Rain-fed,Red Laterite,Tank,Soybean,Chilli,,No,,No,No,2025-05-07,Pending,258/20,Pending,36649827836,Bhogtavadar Varg-1,0.17,10.3,05/01/2025,KID4427236164,17.974213,75.723432,134.0,JS-9305,2024-06-16,Rain-fed,Yes,135645,2712,XXXX9218XX,MAHB4043415,0.809,0.492,39.2,12.4,,,
MH-AS-AHM-10000003,dattatray.shinde28,Dattatray Shinde,Male,1957-10-05,68,NT,XXXX-XXXX-9316,9812462795,Maharashtra,Ahmednagar,Shrirampur,Shrirampur_Village_35,432701,764/25,4.93,Well-irrigated,Red Laterite,Borewell,Groundnut,Soybean,Jowar,Yes,DCCB Nashik,Yes,No,2023-02-26,Active,764/25,Verified,32149938334,Shasakiya,0.0,8.39,11/12/2024,KID8929048314,19.185904,74.542925,125.3,TAG-24,2024-06-20,Rain-fed,Yes,133743,2674,XXXX7831XX,MAHB1338941,0.627,0.518,17.4,17.3,,,
